Date,Description,Amount
2026-08-01,SALARY AUGUST,4500.00
2026-08-03,NETFLIX.COM,-12.99
2026-08-05,SPOTIFY PREMIUM,-9.99
2026-08-05,WHOLE FOODS MARKET,-64.50
2026-08-07,STARBUCKS COFFEE,-18.40
2026-08-09,ZOMATO ORDER,-86.00
2026-08-12,RENT PAYMENT,-1200.00
2026-08-15,ELECTRICITY BILL,-45.00
2026-08-18,AIRTEL RECHARGE,-32.00
2026-08-20,AMAZON INDIA,-210.00
2026-08-22,METRO CARD,-30.00
2026-08-25,CINEMA TICKET,-15.00
01-07-2026,NETFLIX.COM,-12.99
05-07-2026,SPOTIFY PREMIUM,-9.99
10-07-2026,RENT PAYMENT,-1240.00
12-07-2026,ELECTRICITY BILL,-40.00
20-07-2026,MYNTRA SHOPPING,-150.00
22-07-2026,UBER RIDE,-25.00
bad-date,INVALID ROW,nope
